image_id,bboxes,kfold,label
00e37a390f0f,"[[0.7113853959424083, 0.1302378262578616, 0.9734738710732984, 0.6693091666666667], [0.1674104908376963, 0.1121177790880503, 0.3220238056282722, 0.7327293553459119]]",3,opacity
00fb65888ddf,"[[0.2, 0.1940784088302752, 0.4229665178571429, 0.5829024512614679], [0.6765550234962406, 0.2582985923165137, 0.8822966188909774, 0.5840700630733945]]",1,opacity
010a18b0c868,"[[0.1705639973614775, 0.2842085837438423, 0.3794681332453826, 0.8521928530377668], [0.6996735883905013, 0.3438842692939244, 0.8846050395778364, 0.8116986986863711]]",1,opacity
010e677381f7,"[[0.1500437430555555, 0.3945756791666666, 0.4125109375, 0.8827646916666667], [0.5641586493055556, 0.4829396333333333, 0.7529892152777778, 0.8748906208333334]]",0,opacity
0120c5c1352b,"[[0.2769857440056417, 0.2811758946917808, 0.5061099788434414, 0.5704687928082192], [0.6334012235543018, 0.1674368107876712, 0.897148727080395, 0.5482154751712329]]",0,opacity
012f57190f1d,"[[0.593445539538715, 0.5432579901153213, 0.7571244316309721, 0.716289942339374]]",0,opacity
0133bf9a5f5c,"[[0.7572734696755994, 0.236666665239726, 0.961824481664316, 0.51], [0.1999062870239774, 0.4399999999999999, 0.4305409837799718, 0.6849999999999999]]",0,opacity
01376c1ba556,"[[0.5172758427495292, 0.2176870747126436, 0.7780852730696798, 0.5183673362068966], [0.1639571162900188, 0.3074829942528735, 0.4136208333333333, 0.6802721178160919]]",4,opacity
014a736182d3,"[[0.2397571334586466, 0.4196813073394496, 0.4913350986842105, 0.6804418692660551]]",3,opacity
015169fc4212,"[[0.1532492256011315, 0.36, 0.3802176379066478, 0.965]]",4,opacity
015484acb9cf,"[[0.5563237623413257, 0.1392067380136986, 0.8517013540197461, 0.6205425770547945], [0.2741326692524682, 0.1370722089041095, 0.4710510648801128, 0.2822200428082191], [0.1642451727785613, 0.435905988869863, 0.4842375634696756, 0.6077354109589042]]",2,opacity
015ac3c7199d,"[[0.1672910419790104, 0.0466666666666666, 0.4467812968515741, 0.855], [0.6281812218890555, 0.045, 0.9852192653673164, 0.9066666666666666]]",1,opacity
01685340af75,"[[0.6325435980323261, 0.3201320214592275, 0.8709912684469432, 0.6947194721030043]]",2,opacity
0171f8209991,"[[0.047010302811824, 0.1582229122807017, 0.4313834174477289, 0.717848754385965], [0.4640551333813986, 0.2088854210526315, 0.7702724297043979, 0.5978176228070174]]",4,opacity
018343ac5c25,"[[0.5553305780516432, 0.3416666678571428, 0.8675371919014084, 0.5833333357142857]]",0,opacity
018f32c6644f,"[[0.2328541008462623, 0.276666665239726, 0.4538790197461213, 0.821666665239726], [0.6996147954866008, 0.286666665239726, 0.9371136212976025, 0.8700000000000001]]",4,opacity
0199e056a941,"[[0.5402739644244531, 0.6183333333333333, 0.8539726354528727, 0.8666666666666667], [0.1073972520956859, 0.6183333333333333, 0.3704109507258229, 0.8616666666666666]]",1,opacity
01a1aabbef0d,"[[0.6476578425141243, 0.6777582586206896, 0.8767820939265535, 0.9388018318965518], [0.0712831002824858, 0.3433738103448276, 0.2596741348870056, 0.7747172844827587]]",2,opacity
01a869686037,"[[0.4908333333333333, 0.0976810316091953, 0.7733333474576272, 0.6052844511494253], [0.0841666666666666, 0.158715514367816, 0.3283333333333333, 0.5961293103448275]]",2,opacity
01c6d2e4f936,"[[0.3439752916666666, 0.14963955, 0.566426375, 0.6637487291666666], [0.7384139756944444, 0.1731204958333333, 0.9907312326388888, 0.6044284041666667]]",0,opacity
01d83be76fbb,"[[0.6101483623576691, 0.3982852689979825, 0.7995633858004019, 0.5791114626765299]]",1,opacity
01ddea932ac2,"[[0.0897075140977443, 0.3603034145642201, 0.2409769760338345, 0.7737041857798165], [0.7041101456766917, 0.3666245269495413, 0.8709209492481202, 0.8407079644495413]]",0,opacity
01e4def48338,"[[0.3729715183615819, 0.1356440977011494, 0.586060134180791, 0.7581665603448275], [0.6610800588512241, 0.1336956695402298, 0.9324288582862524, 0.7571923793103448]]",2,opacity
01e66c5fc9f3,"[[0.2109506108144192, 0.2488089252948885, 0.3327842690253672, 0.5539519397116645], [0.6151650834445928, 0.3348749049803408, 0.7893758277703604, 0.5472455013106161]]",3,opacity
01e7fdcf87fc,"[[0.6407963618290258, 0.2333001242544731, 0.8661204423459243, 0.6689930218687873], [0.131324791252485, 0.2283150795228628, 0.3755919781312127, 0.6669990009940358]]",0,opacity
02037e3e6555,"[[0.5926887193396226, 0.1543257988505747, 0.8274642476415094, 0.6360093419540229], [0.2344481768867924, 0.1356196408045977, 0.5242391839622641, 0.5487139454022988]]",3,opacity
022085a0b648,"[[0.5540027475409837, 0.6537469633714061, 0.7402578327868853, 0.8750947183930682], [0.1605764459016393, 0.596316195352501, 0.3189429836065574, 0.8080921780228436]]",0,opacity
02366ec75168,"[[0.4840811812411847, 0.276666665239726, 0.827287616361072, 0.911666665239726], [0.0118291819464033, 0.251666665239726, 0.4374051093088857, 0.938333330479452]]",2,opacity
023b985092de,"[[0.1842387527512839, 0.5491436385936223, 0.303665909757887, 0.7637306868356499], [0.6777897542186354, 0.5532180744071954, 0.826464376375642, 0.7528655151267375]]",3,opacity
0242367347b8,"[[0.735051635883905, 0.1360978726912928, 0.87546029353562, 0.5837164511873352]]",1,opacity
024875121068,"[[0.6125, 0.3522701034482758, 0.7849999764150943, 0.8081513304597701], [0.1783333325471698, 0.3969444425287356, 0.3700000188679245, 0.8386111091954022]]",1,opacity
0283ed37496d,"[[0.0591785780958307, 0.5579089784442361, 0.4113876633478531, 0.7865875164011247], [0.5383322806471686, 0.5179214745392065, 0.8208462818917238, 0.7528480599812559]]",4,opacity
0286138dab9b,"[[0.2364651771004942, 0.2890672918531781, 0.3154125411861614, 0.6188731065353625], [0.7167283360790775, 0.2399092435094002, 0.8187019934102142, 0.6251295702775291]]",3,opacity
02bc68ef4265,"[[0.7167868172823219, 0.2776013464696223, 0.856848651055409, 0.553196198686371]]",2,opacity
02c054cac191,"[[0.5984276533018869, 0.4707662816091954, 0.6965408608490566, 0.7236398448275863], [0.1116352004716981, 0.5385823735632184, 0.3172955778301887, 0.7707662816091955]]",0,opacity
02d302d64d58,"[[0.6910377374670185, 0.1562893238786279, 0.852044132585752, 0.5034591556728233], [0.2382075461741424, 0.1613207651715039, 0.3834906035620052, 0.4575471569920844]]",3,opacity
02e0b0db9231,"[[0.6597937491215742, 0.4974296394849785, 0.809034848910752, 0.7506901673819744], [0.1938425333801827, 0.3735824592274678, 0.4797930358397751, 0.6880708025751073]]",3,opacity
02eed7c620be,"[[0.7068119666230367, 0.1812456564465409, 0.905820530104712, 0.743667087264151], [0.1778682231675392, 0.062973588836478, 0.4983767310209425, 0.4555361988993711]]",2,opacity
030729b6b204,"[[0.2226492165492958, 0.4964925964285714, 0.4499809947183098, 0.7521433607142857]]",0,opacity
030897965e6c,"[[0.1853759016007533, 0.3107993908045977, 0.2667353342749529, 0.5446287212643678]]",0,opacity
0317553424d7,"[[0.0154479934210526, 0.1475165080275229, 0.3264675728383459, 0.6941486267201835]]",2,opacity
0322cba9c844,"[[0.3792617282321899, 0.5204958769841269, 0.6707659861477573, 1.0], [0.012248077176781, 0.2685004166666666, 0.2947499901055408, 0.7975435119047619]]",3,opacity
035750d2cc67,"[[0.7002809683098591, 0.43593985, 0.8219914465962441, 0.7001879857142856], [0.1542283362676056, 0.3528618428571428, 0.2825178227699531, 0.6611512892857143]]",1,opacity
035f51150531,"[[0.2620327405660377, 0.4238993706896552, 0.4612851179245283, 0.6264151063218392], [0.786489841981132, 0.5421383649425288, 0.8917942004716981, 0.7635220316091954], [0.2599679481132075, 0.6716981120689656, 0.3694019103773585, 0.779874158045977]]",3,opacity
036fe057963a,"[[0.1612079188654353, 0.3800695436507936, 0.2700355046174142, 0.6071842420634921]]",0,opacity
039adaff232e,"[[0.675, 0.1862014035087719, 0.8950000072098053, 0.633326394736842], [0.2533333309300649, 0.1699792017543859, 0.4724999927901946, 0.6870625175438596]]",3,opacity
039c86552c5a,"[[0.2532808401976935, 0.3622047034596375, 0.3565179365733114, 0.5328083978583196], [0.697725284184514, 0.3140857413509061, 0.8307086202635915, 0.536307981878089]]",3,opacity
03a1614f51e7,"[[0.5407373050139276, 0.1101694908940397, 0.7984008739554317, 0.5847457450331125], [0.0885530710306406, 0.1622276034768212, 0.3401060097493036, 0.6283292922185431]]",2,opacity
03d2a0aeaba5,"[[0.643748, 0.4218455747126436, 0.7473084221698113, 0.7306968304597702], [0.1073979410377358, 0.4802259885057471, 0.2681483844339623, 0.807909606321839]]",4,opacity
03dc2e91e74d,"[[0.6592256556603773, 0.1366666666666667, 0.9464898066037736, 0.8216666666666667], [0.3596501839622641, 0.215, 0.4772916933962264, 0.34], [0.1052162216981132, 0.3766666666666666, 0.4499332028301886, 0.7983333333333332]]",1,opacity
03ef29864757,"[[0.6874999607329842, 0.2242112146226415, 0.8816666132198953, 0.5885927751572327], [0.278333347513089, 0.4023977908805031, 0.4458333278795812, 0.5905948506289309], [0.2008333344240837, 0.2001860770440251, 0.3333333278795811, 0.3093003341194968]]",2,opacity
041089ce263a,"[[0.1927083321579689, 0.2498411386986301, 0.3710937588152327, 0.811809379280822], [0.5273437658674189, 0.2134831378424657, 0.8040364456981663, 0.7256566823630137]]",4,opacity
041c956d9bd7,"[[0.7823148490566038, 0.3024532557471264, 0.998591945754717, 0.7845256522988505], [0.0881441933962264, 0.2441242126436781, 0.2880878702830189, 0.6901698477011495]]",4,opacity
041e01732a79,"[[0.2649775338345864, 0.5310235183486239, 0.3462132481203007, 0.7249587981651376]]",0,opacity
0424649a0330,"[[0.2644257026836158, 0.3494215129310345, 0.4765967514124294, 0.5742854224137931], [0.6032414936440679, 0.3634755043103448, 0.7956756850282486, 0.6545938879310345]]",4,opacity
042e8fe12700,"[[0.6375024801730353, 0.393867298245614, 0.8341717447728911, 0.5482421228070176]]",2,opacity
042efea6bd1d,"[[0.1854802737467018, 0.6214065024630542, 0.2893660949868074, 0.762553908045977]]",4,opacity
0439f052b73b,"[[0.6913778420310296, 0.246666665239726, 0.9178940620592384, 0.781666665239726], [0.1353834837799718, 0.146666665239726, 0.3948475176304654, 0.6900000000000001]]",0,opacity
04427f45efde,"[[0.1231122857815442, 0.2232704396551724, 0.4515687405838041, 0.8632075143678162], [0.4515687405838041, 0.1179245287356321, 0.852156782015066, 0.8238994051724138]]",0,opacity
044839a5b51f,"[[0.2668055672823219, 0.2021452134646962, 0.4603712170184696, 0.7095709688013137], [0.6804527374670185, 0.3547854802955665, 0.877995758575198, 0.7252475328407225]]",3,opacity
0449b62bc0b6,"[[0.586794125590817, 0.1865015413819286, 0.8450178392977719, 0.6979017008352315]]",4,opacity
0452c373f62b,"[[0.5352598647757255, 0.5112548968253968, 0.7967967414248021, 0.7807804722222221], [0.0644934861477572, 0.4031710396825397, 0.3646923350923483, 0.7424722698412698]]",2,opacity
046fd0c18f22,"[[0.5705691925246826, 0.465, 0.808068018335684, 0.728333334760274], [0.1738226022566995, 0.395, 0.4126942524682652, 0.7799999999999999]]",4,opacity
04a4a5b779fc,"[[0.6835731795653831, 0.4253157609156422, 0.8590494205108654, 0.925825862653667], [0.2029208692337018, 0.3461390207715134, 0.3555089058330156, 0.8424075116574821]]",2,opacity
04bfc50a592b,"[[0.2153573205741626, 0.3504332611520138, 0.3259151025290499, 0.6154882459939368], [0.6546003485987696, 0.5246122520571677, 0.8030067259056732, 0.6785965742745778], [0.7362736500341763, 0.3049952663490688, 0.8119708441558441, 0.40218208315288]]",0,opacity
04c1af6cb8df,"[[0.6241740695488722, 0.4123847161697248, 0.725672894736842, 0.7404479099770642], [0.334794494830827, 0.4729907769495413, 0.4308944337406015, 0.6508563560779815]]",0,opacity
04e9977554a5,"[[0.626876734828496, 0.0648967539682539, 0.8879853331134566, 0.6238938095238095], [0.2529887697889182, 0.1445427738095238, 0.4785474307387862, 0.7241888095238096]]",1,opacity
04ee02f3b685,"[[0.6818450612052731, 0.5117994109195403, 0.8159633804143127, 0.7359882385057471], [0.2843232697740113, 0.4306784655172413, 0.4039422904896421, 0.687315617816092]]",0,opacity
04ee818a03d6,"[[0.685083763518385, 0.5414882368421053, 0.857962429704398, 0.6968279561403509]]",4,opacity
04f41a8958f7,"[[0.7283920950704225, 0.6573391004016064, 0.9198450528169014, 0.9193759196787148], [0.201896367370892, 0.3882833855421687, 0.3540331396713615, 0.8421686787148593], [0.3625801291079812, 0.6538297068273092, 0.5121527611502348, 0.8784327068273091]]",0,opacity
050021ae3649,"[[0.8104504943502825, 0.3839184612068965, 0.93662542019774, 0.7678369353448277], [0.2714239371468926, 0.3714609267241379, 0.4031653707627118, 0.5016987672413793], [0.1591654166666666, 0.510758775862069, 0.2881235628531073, 0.7372593965517241]]",1,opacity
0515910ab239,"[[0.057761642480211, 0.4675021998680739, 0.3888962071240105, 0.6482409861477573]]",0,opacity
051c0c15073e,"[[0.3277216608635097, 0.2805296937086092, 0.5106621935933147, 0.6114028187086092]]",2,opacity
052f53733165,"[[0.1339175344827586, 0.2206255516265912, 0.4007916508620689, 0.4649197135785007]]",4,opacity
056df0ed9048,"[[0.6961357873485868, 0.2233333333333333, 0.8865832974427994, 0.6866666666666666], [0.1999699057873485, 0.1083333333333333, 0.4104645222072678, 0.6366666666666667]]",2,opacity
0572ef0d0c1a,"[[0.5998194722955145, 0.0958563136288998, 0.8020107486807387, 0.4404941789819375], [0.1974290633245382, 0.0251931527093596, 0.424520669525066, 0.3871868883415434]]",4,opacity
057889fefcb8,"[[0.20429744, 0.5416903666666666, 0.4345607566666666, 0.7290855133333333]]",4,opacity
05801635f7db,"[[0.4376931002638522, 0.1313651428571428, 0.7600411807387863, 0.6716165674603175], [0.0988671470976253, 0.1598646468253968, 0.3686920778364116, 0.667899234126984]]",4,opacity
0583141e74d8,"[[0.1143921106020942, 0.2401908411949685, 0.2939611354712041, 0.5316372877358491]]",4,opacity
058648c8a669,"[[0.2872962674094707, 0.6556239445364239, 0.5806716504178273, 0.8506225289735099]]",1,opacity
05b8ef849c25,"[[0.1949999855803893, 0.2460208596491228, 0.4100000144196107, 0.704298649122807], [0.6225, 0.2196597368421052, 0.8241666690699351, 0.6921319473684211]]",2,opacity
05bacfe4dcc2,"[[0.5691963681241184, 0.075, 0.8863190761636107, 0.7866666652397261], [0.2053975881523272, 0.016666665239726, 0.545858332157969, 0.733333330479452]]",3,opacity
05be0f039257,"[[0.6299519562146892, 0.1798056149425287, 0.7203093314500942, 0.2777571149425287], [0.2118804872881356, 0.273641474137931, 0.4168703790018832, 0.3946403735632184]]",3,opacity
05c34e480f64,"[[0.1909253314527503, 0.4788990667808219, 0.3707780747531735, 0.6201834888698631]]",3,opacity
05c5bab5cf9d,"[[0.5489651773049645, 0.2792317903930131, 0.7677151773049645, 0.7197555312954876], [0.2479783372734436, 0.241761955361475, 0.4256099290780141, 0.7065904075691413]]",3,opacity
05cb1e76a2e1,"[[0.1847047716092761, 0.2431800472103004, 0.4010234434293745, 0.6250974506437769], [0.5286451229796205, 0.300857364806867, 0.7411351370344342, 0.6773187510729614]]",1,opacity
05d9bb69dbb2,"[[0.7076822823218998, 0.3618177832512315, 0.8022546470976254, 0.6607007799671593], [0.1262678100263852, 0.389454224137931, 0.338438845646438, 0.7794351231527094]]",3,opacity
05e9bb2ea225,"[[0.0885245853829936, 0.3977473700305811, 0.1978141988756148, 0.7766369775739043], [0.208743169360506, 0.2518986442405708, 0.2710382536893886, 0.4564039194699287], [0.673224033731553, 0.3596998572884811, 0.759562828531272, 0.6466413404689092]]",3,opacity
05ef4358baa9,"[[0.0893991400375939, 0.295, 0.3721435009398496, 0.79], [0.6562537758458646, 0.395, 0.8829956296992482, 0.77]]",1,opacity
061797f81be0,"[[0.6813664935446009, 0.5450422928571429, 0.8458401936619718, 0.7842668857142857], [0.6221559683098591, 0.3248355285714285, 0.7660704196009389, 0.4689708571428572]]",4,opacity
065fb159fd49,"[[0.6935731116310161, 0.3419740789033768, 0.8430744852941177, 0.6141575325977935], [0.1653349665775401, 0.2831505483116014, 0.2819460294117646, 0.4666001905717151]]",2,opacity
066fa5edf346,"[[0.5729270582460733, 0.1811402240566038, 0.8338832689790576, 0.701605534591195], [0.0530067277486911, 0.232588518081761, 0.2621700687172775, 0.6286207429245283]]",0,opacity
0684dae08842,"[[0.1275719051724138, 0.1460928500707213, 0.2159227413793103, 0.431483550212164]]",1,opacity
06862b0aa1e8,"[[0.5589933573298429, 0.1894448270440251, 0.837343867801047, 0.8400864426100628], [0.1799291066753926, 0.1894448270440251, 0.5042748789267015, 0.7857869378930816]]",1,opacity
06917801a47e,"[[0.1349476774193548, 0.2616081544885177, 0.277127008064516, 0.4484711482254697], [0.090106504032258, 0.4688561711899792, 0.2913449596774193, 0.6659116534446764], [0.323061879032258, 0.0872027181628392, 0.4346179758064516, 0.2819932025052192], [0.7222577096774193, 0.2242355615866388, 0.9781804838709678, 0.764439407098121]]",0,opacity
06cda92a097d,"[[0.0886644219924812, 0.6965166255733946, 0.1717171781015037, 0.8238758572247706], [0.0684624013157894, 0.5403988732798165, 0.1459034797932331, 0.6376301175458716], [0.5824915836466165, 0.4678178125, 0.6666666353383459, 0.5951770097477064], [0.5028058364661654, 0.2760942574541284, 0.5925925657894737, 0.3637393061926605]]",1,opacity
06de06e37023,"[[0.630266554245283, 0.3376147011494252, 0.789899570754717, 0.6697247701149426], [0.1604032806603773, 0.3486238591954023, 0.2628093608490566, 0.7027522557471263]]",2,opacity
06ee89a4efe9,"[[0.6163993879472692, 0.2691129827586207, 0.8302151953860639, 0.5973740833333333], [0.1739651789077212, 0.1837851695402299, 0.3565309722222222, 0.5532044166666666]]",2,opacity
06f4f2f03a93,"[[0.655842088028169, 0.6083333333333333, 0.8649829330985914, 0.6983333333333334]]",1,opacity
06f6423be3f9,"[[0.1092536510554089, 0.3084968172823219, 0.3984545118733508, 0.4659824340369393], [0.7363327440633245, 0.2874987368073878, 0.922452110817942, 0.454528937994723]]",4,opacity
06fa3a4d5dbd,"[[0.1930809016007533, 0.2702942643678161, 0.3892247033898305, 0.6574817614942529]]",0,opacity
070f57210fa7,"[[0.1237017287420941, 0.4587155922746782, 0.2724184118060435, 0.8036696866952789], [0.5593364300773015, 0.6165137596566523, 0.8041932220660576, 0.8440367381974249]]",1,opacity
072690bceea9,"[[0.1752097108969607, 0.4466666666666666, 0.3264699036323202, 0.8099999999999999], [0.6446871015567087, 0.4483333333333333, 0.8073631578947369, 0.8583333333333333]]",3,opacity
0726c56e706d,"[[0.6405471362994349, 0.2622493965517241, 0.810812895480226, 0.4457583793103448], [0.1662946433615819, 0.2510969181034482, 0.3207796998587571, 0.3991207456896551]]",1,opacity
072999833ab4,"[[0.6519052507062147, 0.3535423879310345, 0.8115344703389831, 0.5609716551724138], [0.1627188418079096, 0.256742073275862, 0.3511843502824859, 0.6426862025862069]]",4,opacity
0729e35c1829,"[[0.640458453166227, 0.6316666666666666, 0.9175033080474936, 0.9266666666666666], [0.2262763951187335, 0.5933333333333334, 0.470075867414248, 0.9016666666666666]]",0,opacity
0748e24c162d,"[[0.6601092899214659, 0.306354606918239, 0.9038251439790576, 0.7855449056603775]]",4,opacity
075e8abf2787,"[[0.685, 0.3360248994252873, 0.8783333490566038, 0.7035727873563218], [0.2125000070754717, 0.3441475172413793, 0.3908333325471698, 0.6873275747126436]]",0,opacity
077209acb6e4,"[[0.5718438665254237, 0.4323504913793103, 0.8397074435028249, 0.7423575603448276], [0.0472391490112994, 0.4312190775862069, 0.2205626200564972, 0.7729057025862069]]",1,opacity
077c85f226d8,"[[0.6302083344240837, 0.0819841548742138, 0.9270833736910996, 0.5301096658805032], [0.2239583344240837, 0.0491372602201257, 0.4765624934554974, 0.4409538050314465]]",4,opacity
077f7a878b5f,"[[0.6063218832453826, 0.1783333333333333, 0.8687757091029024, 0.9266666666666667], [0.2113020943271767, 0.17, 0.4764340204485489, 0.8333333333333334]]",0,opacity
077fe957981a,"[[0.53461731074261, 0.6036744736842106, 0.8204604397981256, 0.8077321842105263], [0.1324532227829848, 0.5905094649122807, 0.4137877793799567, 0.7803050789473683]]",2,opacity
078fb92e34d5,"[[0.0948660831766917, 0.3687592975917431, 0.4113112546992481, 0.8856144868119266], [0.5932049412593985, 0.5319234088302752, 0.8764275704887219, 0.9109504701834862]]",4,opacity
07cd26298a41,"[[0.4674134416195857, 0.4092562557471264, 0.7209776200564972, 0.6802443879310345], [0.034623217984934, 0.3769365689655172, 0.2902240348399246, 0.6690567902298851]]",4,opacity
07ce8310154d,"[[0.1532090936911487, 0.2788605718390805, 0.2746721869114877, 0.5753980373563219], [0.6190476200564972, 0.4608267327586207, 0.8412698422787194, 0.8769901063218392]]",3,opacity
07d26e1998f3,"[[0.1818570980253878, 0.0862385530821917, 0.3979826939351198, 0.543119267979452], [0.5521421897038082, 0.1082568792808219, 0.7758245874471086, 0.533944948630137]]",2,opacity
07dadb4e8cb6,"[[0.7364651781305115, 0.3015817336485422, 0.8236362116402116, 0.5845114499605989], [0.2167283350970018, 0.2988259259259259, 0.3351493897707231, 0.5643021867612293]]",0,opacity
07fd8eed8cbc,"[[0.67237213260762, 0.2220035576447303, 0.9101437456704602, 0.4485122662048491], [0.2212437704106878, 0.4391715338941118, 0.4090484067293419, 0.6028032953983177]]",4,opacity
07fe0210c4d2,"[[0.6666666655672823, 0.4737588849206349, 0.8072916259894458, 0.753402984126984], [0.2727864577836411, 0.5654069484126983, 0.3522135488126649, 0.6688047658730158]]",4,opacity
08048f170c29,"[[0.1975448728813559, 0.2817147887931034, 0.4190108298022599, 0.6071741034482758], [0.5903065042372881, 0.185476823275862, 0.8167895197740113, 0.5923009612068966]]",0,opacity
080f3ecd201b,"[[0.5808333368644067, 0.0986982715517241, 0.762500038841808, 0.3947155086206896], [0.1425, 0.1444741336206896, 0.2666666701977401, 0.4028534439655172]]",3,opacity
0811fa228368,"[[0.1476282290934645, 0.3923315493562231, 0.3468314195361911, 0.7670421673819743], [0.5828871749824315, 0.3144695879828326, 0.7362736683063948, 0.5431890386266095]]",1,opacity
081c57bf820f,"[[0.5988850972222223, 0.1788400541666666, 0.8681976597222222, 0.630789875], [0.1933684791666666, 0.2419892083333333, 0.3656872465277778, 0.7125123083333333]]",0,opacity
081c8b609ab0,"[[0.6483721573770492, 0.2859288617565971, 0.8103326393442623, 0.6217707877116976], [0.2008769737704918, 0.1516666679795195, 0.3840179573770492, 0.508333335959039]]",3,opacity
0839e8367909,"[[0.0034752881236823, 0.3438735163861824, 0.2334446416022488, 0.6772068334809566]]",4,opacity
083efcd38bc3,"[[0.0266398728813559, 0.136391349137931, 0.2955867831920904, 0.6496262844827586], [0.3731898905367231, 0.1547716637931034, 0.7009761935028248, 0.6892146508620689]]",2,opacity
0846e5c4dfd2,"[[0.1394257060849598, 0.2171621360847741, 0.2759388633754305, 0.4856184104852203]]",4,opacity
084b10f6151c,"[[0.1953488559322034, 0.316044875, 0.4288372069209039, 0.7407313060344828]]",0,opacity
085170457a04,"[[0.2457655568609022, 0.5489721674311927, 0.3934230803571428, 0.805320384174312], [0.6382431179511278, 0.4461910980504587, 0.7898646569548872, 0.6964933686926607]]",1,opacity
086f1ab39050,"[[0.739238061440678, 0.4589127672413793, 0.8987300812146893, 0.6915297456896551], [0.1468390960451977, 0.4323640948275862, 0.3042597881355932, 0.6839443793103448]]",2,opacity
087104225581,"[[0.0337290897097625, 0.5031746031746032, 0.3595866094986807, 0.8333333333333334], [0.5838610158311346, 0.5317460317460317, 0.9163148416886544, 0.8777777777777778]]",2,opacity
087837197282,"[[0.7483333344240837, 0.2202070243710692, 0.8741666557591622, 0.6346409669811321], [0.1724999934554973, 0.2732625864779874, 0.2725000065445025, 0.4013967570754717]]",3,opacity
08a68d025467,"[[0.150390625, 0.2524035198702352, 0.3626302203947368, 0.6223937104622871], [0.592447917763158, 0.3358720235198702, 0.7799479572368422, 0.6528918167072181]]",2,opacity
08cf0b5663bd,"[[0.5772217951388889, 0.2727981291666667, 0.7084247048611111, 0.4886983708333333], [0.3063722222222222, 0.2572096666666666, 0.4343275104166666, 0.3975058416666666]]",1,opacity
